StringID	Type	x	y	demandold	demand	ReadyTime	DueDate
AL	t	0.297264149	0.803188051	-0.7	-70	0	1
AZ	t	0.335636122	0.521880931	1.1	110	0	1
AR	t	0.349927827	0.742463535	-4.3	-430	0	1
CA	t	0.411626963	0.44011293	-1.9	-190	0	1
CO	t	0.453888318	0.592963028	-2	-200	0	1
CT	t	0.515609554	0.958303978	3	300	0	1
DE	t	0.457495274	0.928653699	-1	-100	0	1
DC	t	0.451474528	0.910876924	-0.1	-10	0	1
FL	t	0.18401733	0.834913931	0.8	80	0	1
GA	t	0.299152222	0.841710275	1.1	110	0	1
ID	t	0.612954036	0.49724279	3.1	310	0	1
IL	t	0.472040588	0.771733086	0.5	50	0	1
IN	t	0.472699252	0.805855821	0.2	20	0	1
IA	t	0.525881527	0.728443733	2.4	240	0	1
KS	t	0.441666858	0.673516467	-0.3	-30	0	1
KY	t	0.425103587	0.813353994	1.4	140	0	1
LA	t	0.257412657	0.750278458	2.6	260	0	1
ME	t	0.606194844	1	-7.1	-710	0	1
MD	t	0.449197579	0.908048837	0.2	20	0	1
MA	t	0.528932839	0.969884172	4	400	0	1
MI	t	0.599462801	0.806139601	-0.8	-80	0	1
MN	t	0.636147619	0.72871427	-4.1	-410	0	1
MS	t	0.296874727	0.767576669	3.3	330	0	1
MO	t	0.436914029	0.739057563	4.4	440	0	1
MT	t	0.641973413	0.542893862	-5.8	-580	0	1
NE	t	0.515169718	0.658355796	3	300	0	1
NV	t	0.441746508	0.465150264	-5.4	-540	0	1
NH	t	0.576390531	0.971423205	4.5	450	0	1
NJ	t	0.481924601	0.936316397	-4.1	-410	0	1
NM	t	0.335587496	0.58766556	-0.8	-80	0	1
NY	t	0.495699957	0.944687992	9.3	930	0	1
NC	t	0.361255131	0.878828173	-5.5	-550	0	1
ND	t	0.661269058	0.651433309	-1.5	-150	0	1
OH	t	0.483084094	0.847879195	2.8	280	0	1
OK	t	0.363586097	0.669099355	1.3	130	0	1
OR	t	0.579834842	0.425989915	-2.1	-210	0	1
PA	t	0.502775112	0.904302384	-0.8	-80	0	1
RI	t	0.517175195	0.972241746	0.3	30	0	1
SC	t	0.322337022	0.867066043	-0.7	-70	0	1
SD	t	0.581568199	0.652047183	-0.3	-30	0	1
TN	t	0.376336433	0.811010426	1.5	150	0	1
TX	t	0.262210593	0.653944702	1.1	110	0	1
UT	t	0.466175191	0.52615765	-3.3	-330	0	1
VT	t	0.573220399	0.961754553	-0.6	-60	0	1
VA	t	0.429537498	0.883646362	-0.3	-30	0	1
WA	t	0.451474528	0.910876926	1	100	0	1
WV	t	0.451984336	0.875592628	-0.8	-80	0	1
WI	t	0.595612326	0.768139444	4.9	490	0	1
WY	t	0.551884059	0.570636864	-1.7	-170	0	1
